model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error
cnn-9,cifar10,learnt,10,rayleigh-zf,0.0,frob,0.01,0.1658778190612793,0.5798,0.1658778190612793,2.1720660037479584,0.5798,1.9560831022583114,True,True,0.15661360025405885,0.5389999999999999,0.15661360025405885,0.8799843991190925,0.5389999999999999,0.6739090475393189,True,True,0.009264218807220448,0.04080000000000006,5.584965403842222,7.036909279061755,True,True,0.0102851384515858,112.56888580322266,0.14146730905499733,0.3475426606347709
cnn-9,cifar10,learnt,20,rayleigh-zf,0.0,frob,0.01,0.17119706869125367,0.5969,0.17119706869125367,3.7043639924630694,0.5969,3.4908084380789677,True,True,0.16206233501434325,0.5458000000000001,0.16206233501434325,0.91352541744203,0.5458000000000001,0.7069302812289403,True,True,0.009134733676910423,0.05109999999999992,5.335800283697912,8.560897972859763,True,True,0.0102851384515858,120.141845703125,0.14062123649049552,0.3472163727035852
cnn-9,cifar10,learnt,50,rayleigh-zf,0.0,frob,0.01,0.1754888892173767,0.6052,0.1754888892173767,7.632486626300128,0.6052,7.431888441433709,True,True,0.15884137153625488,0.5338,0.15884137153625488,0.9177198987409098,0.5338,0.7111606208126471,True,True,0.016647517681121826,0.07139999999999991,9.486365635661798,11.797752808988749,True,True,0.0102851384515858,121.11933898925781,0.140480093203517,0.3470393711317797
