model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error,model_dataset
cnn-4,mnist,learnt,10,rayleigh-zf,0.0,frob,1.0,0.1996856570243835,0.2764,0.1996856570243835,0.1327859038545556,0.2764,0.1206403755971445,False,False,0.1917759537696838,0.2672,0.1917759537696838,0.0797147509209101,0.2672,0.0672256228110305,False,False,0.0079097032546996,0.0091999999999999,3.9610773114935567,3.328509406657014,True,False,0.024341379813316,0.0016387403011322,0.0257765241074378,0.0382656522173174,cnn-4_mnist
cnn-4,mnist,learnt,50,rayleigh-zf,0.0,frob,0.01,0.2249255180358886,0.3228,0.2249255180358886,0.6728084642789499,0.3228,0.6605815608329099,True,True,0.1935015797615051,0.2694999999999999,0.1935015797615051,0.0912119082448436,0.2694999999999999,0.0789625505788421,False,False,0.0314239382743835,0.0533,13.97081956230934,16.51177199504338,True,False,0.024341379813316,3.1369786262512207,0.0247134803906265,0.036962838056628,cnn-4_mnist
cnn-4,mnist,learnt,50,rayleigh-zf,0.0,frob,0.1,0.2249255180358886,0.3228,0.2249255180358886,0.6728084642789499,0.3228,0.6605815608329099,True,True,0.1897125720977783,0.2625999999999999,0.1897125720977783,0.0797636494707318,0.2625999999999999,0.0673254498873912,False,False,0.0352129459381103,0.0602,15.655380610256882,18.649318463444867,True,False,0.024341379813316,0.06515634059906,0.0256170416664385,0.0380552412497791,cnn-4_mnist
cnn-9,cifar10,learnt,20,rayleigh-zf,0.0,frob,1.0,0.1711970686912536,0.5969,0.1711970686912536,3.70436399246307,0.5969,3.4908084380789677,True,True,0.1660737156867981,0.5067999999999999,0.1660737156867981,0.3907238174399549,0.5067999999999999,0.2027109940309963,True,False,0.0051233530044555,0.0901,2.9926639770306536,15.094655721226347,True,False,0.0102851384515858,0.1584244072437286,0.1729841216737244,0.360996945082683,cnn-9_cifar10
cnn-4,mnist,learnt,10,rayleigh-zf,10.0,frob,1.0,0.0435469806194305,0.0692,0.0435469806194305,0.1159375940630338,0.0692,0.1037920658056227,True,True,0.0421526044607162,0.0674,0.0421526044607162,0.0628664411293883,0.0674,0.0503773130195088,True,False,0.0013943761587142,0.0018,3.2020042236685584,2.601156069364195,True,False,0.0074930700217943,0.0016387403011322,0.0257765241074378,0.0382656522173174,cnn-4_mnist
cnn-9,cifar10,learnt,10,rayleigh-zf,0.0,frob,0.01,0.1658778190612793,0.5798,0.1658778190612793,2.1720660037479584,0.5798,1.9560831022583112,True,True,0.1566136002540588,0.5389999999999999,0.1566136002540588,0.8799843991190925,0.5389999999999999,0.6739090475393189,True,True,0.0092642188072204,0.0408,5.584965403842222,7.036909279061755,True,True,0.0102851384515858,112.56888580322266,0.1414673090549973,0.3475426606347709,cnn-9_cifar10
cnn-4,mnist,learnt,20,rayleigh-zf,0.0,frob,0.1,0.2075693845748901,0.2895999999999999,0.2075693845748901,0.2356213128185402,0.2895999999999999,0.2234384351358663,True,False,0.1922175049781799,0.262,0.1922175049781799,0.0797929977328637,0.262,0.0673521435045105,False,False,0.0153518795967101,0.0275999999999999,7.3960230831494815,9.530386740331478,True,False,0.024341379813316,0.0674343407154083,0.025634435387026,0.0380752896153793,cnn-4_mnist
cnn-9,cifar10,learnt,10,rayleigh-zf,0.0,frob,0.1,0.1658778190612793,0.5798,0.1658778190612793,2.1720660037479584,0.5798,1.9560831022583112,True,True,0.1596506118774414,0.5038,0.1596506118774414,0.4056590381056484,0.5038,0.2150918325132141,True,False,0.0062272071838379,0.0759999999999999,3.754092752773305,13.10796826491893,True,False,0.0102851384515858,4.255603790283203,0.1670418169229684,0.3576090225154026,cnn-9_cifar10
cnn-9,cifar10,learnt,50,rayleigh-zf,0.0,frob,1.0,0.1754888892173767,0.6052,0.1754888892173767,7.632486626300128,0.6052,7.431888441433709,True,True,0.1623267292976379,0.4959,0.1623267292976379,0.3908681432704473,0.4959,0.2027407543734602,True,False,0.0131621599197387,0.1092999999999999,7.500281059637286,18.060145406477194,True,False,0.0102851384515858,0.1633560061454773,0.1729918272354242,0.3611192161324112,cnn-9_cifar10
cnn-4,mnist,learnt,20,rayleigh-zf,10.0,frob,0.1,0.0456819295883178,0.0732,0.0456819295883178,0.2187730030270184,0.0732,0.2065901253443446,True,True,0.0396595180034637,0.0651,0.0396595180034637,0.0629446879413419,0.0651,0.0505038337129887,True,False,0.0060224115848541,0.0080999999999999,13.183356393058796,11.065573770491792,True,False,0.0074930700217943,0.0674343407154083,0.025634435387026,0.0380752896153793,cnn-4_mnist
