Model,Dataset,Prior Type,Prior Dist,Sigma,Channel Type,Channel Type (SNR),SNR (dB),Channel Layer,MC Samples,Norm Type,Seed,Lipschitz Constant
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise10.0,rayleigh-snr-10.0dB,-10.0,chan-layer2,mcsamples2000,norm-frob,seed7,0.015778720378875732
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise10.0,rayleigh-snr-10.0dB,-10.0,chan-layer2,mcsamples2000,norm-spec,seed7,0.11850356310606003
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise3.1623,rayleigh-snr-5.0dB,-5.000030680516932,chan-layer2,mcsamples2000,norm-frob,seed7,0.015693582594394684
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise3.1623,rayleigh-snr-5.0dB,-5.000030680516932,chan-layer2,mcsamples2000,norm-spec,seed7,0.12005262821912766
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise5.6234,rayleigh-snr-7.5dB,-7.499989765583491,chan-layer2,mcsamples2000,norm-frob,seed7,0.01565179042518139
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise5.6234,rayleigh-snr-7.5dB,-7.499989765583491,chan-layer2,mcsamples2000,norm-spec,seed7,0.11713028699159622
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer4,mcsamples2000,norm-frob,seed7,0.001539559569209814
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer4,mcsamples2000,norm-spec,seed7,0.01907847821712494
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer4,mcsamples2000,norm-frob,seed7,0.001446129404939711
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer4,mcsamples2000,norm-spec,seed7,0.018462425097823143
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0013904329389333725
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer4,mcsamples2000,norm-spec,seed7,0.01836155354976654
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0012241966323927045
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer4,mcsamples2000,norm-spec,seed7,0.016656646504998207
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0012209281558170915
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer4,mcsamples2000,norm-spec,seed7,0.01720277965068817
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.6,bec-outage0.6,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0011961298296228051
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.6,bec-outage0.6,,chan-layer4,mcsamples2000,norm-spec,seed7,0.01732763648033142
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.7,bec-outage0.7,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0011463849805295467
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.7,bec-outage0.7,,chan-layer4,mcsamples2000,norm-spec,seed7,0.01701960153877735
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.8,bec-outage0.8,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0010735866380855441
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.8,bec-outage0.8,,chan-layer4,mcsamples2000,norm-spec,seed7,0.016347769647836685
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.9,bec-outage0.9,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0011005006963387132
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.9,bec-outage0.9,,chan-layer4,mcsamples2000,norm-spec,seed7,0.017148664221167564
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage1.0,bec-outage1.0,,chan-layer4,mcsamples2000,norm-frob,seed7,0.0011862979736179113
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage1.0,bec-outage1.0,,chan-layer4,mcsamples2000,norm-spec,seed7,0.018914952874183655
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer4,mcsamples2000,norm-frob,seed7,0.003385273041203618
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer4,mcsamples2000,norm-spec,seed7,0.038761451840400696
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer4,mcsamples2000,norm-frob,seed7,0.004356509540230036
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer4,mcsamples2000,norm-spec,seed7,0.04940185323357582
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer4,mcsamples2000,norm-frob,seed7,0.005657737143337727
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer4,mcsamples2000,norm-spec,seed7,0.06326573342084885
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer4,mcsamples2000,norm-frob,seed7,0.0058255260810256
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer4,mcsamples2000,norm-spec,seed7,0.06646094471216202
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer4,mcsamples2000,norm-frob,seed7,0.006279048975557089
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer4,mcsamples2000,norm-spec,seed7,0.07301505655050278
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.7783,rayleigh-snr-2.5dB,-2.500050284868957,chan-layer4,mcsamples2000,norm-frob,seed7,0.006424053572118282
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.7783,rayleigh-snr-2.5dB,-2.500050284868957,chan-layer4,mcsamples2000,norm-spec,seed7,0.07148222625255585
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise10.0,rayleigh-snr-10.0dB,-10.0,chan-layer4,mcsamples2000,norm-frob,seed7,0.0069230468943715096
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise10.0,rayleigh-snr-10.0dB,-10.0,chan-layer4,mcsamples2000,norm-spec,seed7,0.07281646132469177
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise3.1623,rayleigh-snr-5.0dB,-5.000030680516932,chan-layer4,mcsamples2000,norm-frob,seed7,0.0065348283387720585
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise3.1623,rayleigh-snr-5.0dB,-5.000030680516932,chan-layer4,mcsamples2000,norm-spec,seed7,0.0712573379278183
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise5.6234,rayleigh-snr-7.5dB,-7.499989765583491,chan-layer4,mcsamples2000,norm-frob,seed7,0.00688794394955039
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise5.6234,rayleigh-snr-7.5dB,-7.499989765583491,chan-layer4,mcsamples2000,norm-spec,seed7,0.07415730506181717
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples2000,norm-frob,seed7,0.01062773633748293
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples2000,norm-spec,seed7,0.08788043260574341
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples2000,norm-frob,seed7,0.010358491912484169
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples2000,norm-spec,seed7,0.08690080046653748
