Model,Dataset,Prior Type,Prior Dist,Sigma,Channel Type,Channel Type (SNR),SNR (dB),Channel Layer,MC Samples,Norm Type,Seed,Lipschitz Constant
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer4,mcsamples500,norm-spec,seed7,0.03851429373025894
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer4,mcsamples500,norm-frob,seed7,0.003790614427998662
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer4,mcsamples500,norm-spec,seed7,0.04417411983013153
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer4,mcsamples500,norm-frob,seed7,0.004419338423758745
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer4,mcsamples500,norm-spec,seed7,0.0511944442987442
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer4,mcsamples500,norm-frob,seed7,0.0058255260810256
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer4,mcsamples500,norm-spec,seed7,0.06421179324388504
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer4,mcsamples500,norm-frob,seed7,0.0061731706373393536
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples500,norm-frob,seed7,0.004715333227068186
cnn-9,cifar10,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer4,mcsamples500,norm-spec,seed7,0.07033758610486984
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples500,norm-frob,seed7,0.008666250854730606
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples500,norm-spec,seed7,0.07137268781661987
fcn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples500,norm-frob,seed7,0.008774982765316963
